"code","name","ipo_date","papan_pencatatan","industry"
"PRIM","Royal Prima Tbk.","2018-05-15","Pengembangan","Healthcare"
"PTPS","Pulau Subur Tbk.","2023-10-09","Pengembangan","Consumer Non-Cyclicals"
"PSAB","J Resources Asia Pasifik Tbk.","2003-04-22","Pengembangan","Basic Materials"
"PSDN","Prasidha Aneka Niaga Tbk","1994-10-18","Pengembangan","Consumer Non-Cyclicals"
"PSGO","Palma Serasih Tbk.","2019-11-25","Utama","Consumer Non-Cyclicals"
"PSKT","Red Planet Indonesia Tbk.","1995-09-19","Pemantauan Khusus","Consumer Cyclicals"
"PSSI","IMC Pelita Logistik Tbk.","2017-12-05","Utama","Energy"
"PUDP","Pudjiadi Prestige Tbk.","1994-11-18","Utama","Properties & Real Estate"
"PURA","Putra Rajawali Kencana Tbk.","2020-01-29","Pemantauan Khusus","Transportation & Logistics"
"PURE","Trinitan Metals and Minerals T","2019-10-09","Pemantauan Khusus","Basic Materials"
"PURI","Puri Global Sukses Tbk.","2020-09-08","Pengembangan","Properties & Real Estate"
"PTPW","Pratama Widya Tbk.","2020-02-07","Pengembangan","Infrastructure"
"PWON","Pakuwon Jati Tbk.","1989-10-09","Utama","Properties & Real Estate"
"PYFA","Pyridam Farma Tbk","2001-10-16","Pengembangan","Healthcare"
"PZZA","Sarimelati Kencana Tbk.","2018-05-23","Pengembangan","Consumer Cyclicals"
"RAAM","Tripar Multivision Plus Tbk.","2023-05-08","Utama","Consumer Cyclicals"
"RAFI","Sari Kreasi Boga Tbk.","2022-08-05","Pemantauan Khusus","Consumer Cyclicals"
"RAJA","Rukun Raharja Tbk.","2006-04-19","Utama","Energy"
"RALS","Ramayana Lestari Sentosa Tbk.","1996-07-24","Utama","Consumer Cyclicals"
"RANC","Supra Boga Lestari Tbk.","2012-06-07","Pengembangan","Consumer Non-Cyclicals"
"RBMS","Ristia Bintang Mahkotasejati T","1997-12-19","Pemantauan Khusus","Properties & Real Estate"
"RCCC","Utama Radar Cahaya Tbk.","2022-08-02","Akselerasi","Transportation & Logistics"
"RDTX","Roda Vivatex Tbk","1990-05-14","Pemantauan Khusus","Properties & Real Estate"
"REAL","Repower Asia Indonesia Tbk.","2019-12-06","Pemantauan Khusus","Properties & Real Estate"
"RELF","Graha Mitra Asia Tbk.","2023-06-22","Akselerasi","Properties & Real Estate"
"RELI","Reliance Sekuritas Indonesia T","2005-07-13","Pengembangan","Financials"
"RGAS","Kian Santang Muliatama Tbk.","2023-11-08","Pengembangan","Energy"
"RICY","Ricky Putra Globalindo Tbk","1998-01-22","Pengembangan","Consumer Cyclicals"
"RIGS","Rig Tenders Indonesia Tbk.","1990-03-05","Pengembangan","Energy"
"RIMO","Rimo International Lestari Tbk","2000-11-10","Pemantauan Khusus","Properties & Real Estate"
"RISE","Jaya Sukses Makmur Sentosa Tbk","2018-07-09","Pengembangan","Properties & Real Estate"
"RMKE","RMK Energy Tbk.","2021-12-07","Utama","Energy"
"RMKO","Royaltama Mulia Kontraktorindo","2023-07-31","Pengembangan","Energy"
"PTRO","Petrosea Tbk.","1990-05-21","Utama","Energy"
"ROCK","Rockfields Properti Indonesia","2020-09-10","Pemantauan Khusus","Properties & Real Estate"
"RODA","Pikko Land Development Tbk.","2001-10-22","Pemantauan Khusus","Properties & Real Estate"
"RONY","Aesler Grup Internasional Tbk.","2020-04-09","Pemantauan Khusus","Infrastructure"
"ROTI","Nippon Indosari Corpindo Tbk.","2010-06-28","Pengembangan","Consumer Non-Cyclicals"
"RSCH","Charlie Hospital Semarang Tbk.","2023-08-28","Pengembangan","Healthcare"
"RSGK","Kedoya Adyaraya Tbk.","2021-09-08","Utama","Healthcare"
"RUIS","Radiant Utama Interinsco Tbk.","2006-07-12","Pengembangan","Energy"
"RUNS","Global Sukses Solusi Tbk.","2021-09-08","Akselerasi","Technology"
"SAFE","Steady Safe Tbk","1994-08-15","Pengembangan","Transportation & Logistics"
"SAGE","Saausaha Gemilangindah Tbk.","2023-03-08","Pemantauan Khusus","Properties & Real Estate"
"SAME","Sarana Meditama Metropolitan T","2013-01-11","Utama","Healthcare"
"SAMF","Saraswanti Anugerah Makmur Tbk","2020-03-31","Utama","Basic Materials"
"SAPX","Satria Antaran Prima Tbk.","2018-10-03","Pengembangan","Transportation & Logistics"
"SATU","Kota Satu Properti Tbk.","2018-11-05","Pengembangan","Properties & Real Estate"
"SBAT","Sejahtera Bintang Abadi Textil","2020-04-08","Pemantauan Khusus","Consumer Cyclicals"
"SBMA","Surya Biru Murni Acetylene Tbk","2021-09-08","Pengembangan","Basic Materials"
"SCCO","Supreme Cable Manufacturing &","1982-07-20","Pengembangan","Industrials"
"SCMA","Surya Citra Media Tbk.","2002-07-16","Utama","Consumer Cyclicals"
"SCNP","Selaras Citra Nusantara Perkas","2020-09-07","Pengembangan","Consumer Cyclicals"
"SCPI","Organon Pharma Indonesia Tbk.","1990-06-08","Pengembangan","Healthcare"
"SDMU","Sidomulyo Selaras Tbk.","2011-07-12","Pemantauan Khusus","Transportation & Logistics"
"SDPC","Millennium Pharmacon Internati","1990-05-07","Pengembangan","Consumer Non-Cyclicals"
"SDRA","Bank Woori Saudara Indonesia 1","2006-12-15","Utama","Financials"
"SEMA","Semacom Integrated Tbk.","2022-01-10","Pengembangan","Energy"
"SFAN","Surya Fajar Capital Tbk.","2019-06-19","Pengembangan","Financials"
"SGER","Sumber Global Energy Tbk.","2020-08-10","Pengembangan","Energy"
"SGRO","Sampoerna Agro Tbk.","2007-06-18","Utama","Consumer Non-Cyclicals"
"SHID","Hotel Sahid Jaya International","1990-05-08","Pengembangan","Consumer Cyclicals"
"SHIP","Sillo Maritime Perdana Tbk.","2016-06-16","Utama","Energy"
"SICO","Sigma Energy Compressindo Tbk.","2022-04-08","Pengembangan","Energy"
"SIDO","Industri Jamu dan Farmasi Sido","2013-12-18","Utama","Healthcare"
"SILO","Siloam International Hospitals","2013-09-12","Utama","Healthcare"
"SIMA","Siwani Makmur Tbk","1994-06-03","Pemantauan Khusus","Basic Materials"
"SIMP","Salim Ivomas Pratama Tbk.","2011-06-09","Utama","Consumer Non-Cyclicals"
"SINI","Singaraja Putra Tbk.","2019-11-08","Pemantauan Khusus","Industrials"
"SIPD","Sreeya Sewu Indonesia Tbk.","1996-12-27","Pengembangan","Consumer Non-Cyclicals"
"SKBM","Sekar Bumi Tbk.","2012-09-28","Pengembangan","Consumer Non-Cyclicals"
"SKLT","Sekar Laut Tbk.","1993-09-08","Pengembangan","Consumer Non-Cyclicals"
"SKRN","Superkrane Mitra Utama Tbk.","2018-10-11","Pengembangan","Industrials"
"SKYB","Northcliff Citranusa Indonesia","2010-07-07","Pemantauan Khusus","Technology"
"SLIS","Gaya Abadi Sempurna Tbk.","2019-10-07","Pengembangan","Consumer Cyclicals"
"SMAR","Smart Tbk.","1992-11-20","Pengembangan","Consumer Non-Cyclicals"
"SMBR","Semen Baturaja Tbk.","2013-06-28","Utama","Basic Materials"
"SMCB","Solusi Bangun Indonesia Tbk.","1977-08-10","Pemantauan Khusus","Basic Materials"
"SMDM","Suryamas Dutamakmur Tbk.","1995-10-12","Pengembangan","Properties & Real Estate"
"SMDR","Samudera Indonesia  Tbk.","1999-07-05","Utama","Transportation & Logistics"
"SMGA","Sumber Mineral Global Abadi Tb","2024-01-30","Pengembangan","Basic Materials"
"SMGR","Semen Indonesia (Persero) Tbk.","1991-07-08","Utama","Basic Materials"
"SMIL","Sarana Mitra Luas Tbk.","2023-05-12","Utama","Industrials"
"SMKL","Satyamitra Kemas Lestari Tbk.","2019-07-11","Pengembangan","Basic Materials"
"SMKM","Sumber Mas Konstruksi Tbk.","2022-03-09","Akselerasi","Infrastructure"
"SMLE","Sinergi Multi Lestarindo Tbk.","2024-01-10","Pengembangan","Basic Materials"
"SMMA","Sinarmas Multiartha Tbk.","1995-07-05","Utama","Financials"
"SMMT","Golden Eagle Energy Tbk.","1997-12-01","Pemantauan Khusus","Energy"
"SMRA","Summarecon Agung Tbk.","1990-05-07","Utama","Properties & Real Estate"
"SMRU","SMR Utama Tbk.","2011-10-10","Pemantauan Khusus","Energy"
"SMSM","Selamat Sempurna Tbk.","1996-09-09","Utama","Consumer Cyclicals"
"PTSN","Sat Nusapersada Tbk","2007-11-08","Pengembangan","Technology"
"SNLK","Sunter Lakeside Hotel Tbk.","2021-03-29","Pengembangan","Consumer Cyclicals"
"SPTO","Surya Pertiwi Tbk.","2018-05-14","Utama","Industrials"
"SOCI","Soechi Lines Tbk.","2014-12-03","Utama","Energy"
"SOFA","Boston Furniture Industries Tb","2020-07-07","Akselerasi","Consumer Cyclicals"
"SOHO","Soho Global Health Tbk.","2020-09-08","Pengembangan","Healthcare"
"SOLA","Xolare RCR Energy Tbk.","2024-05-08","Pengembangan","Basic Materials"
"SONA","Sona Topas Tourism Industry Tb","1992-07-21","Pengembangan","Consumer Cyclicals"
"SOSS","Shield On Service Tbk.","2018-11-06","Pemantauan Khusus","Industrials"
"SOTS","Satria Mega Kencana Tbk.","2018-12-10","Pengembangan","Consumer Cyclicals"
"SOUL","Mitra Tirta Buwana Tbk.","2023-01-06","Akselerasi","Consumer Non-Cyclicals"
"PTSP","Pioneerindo Gourmet Internatio","1994-05-30","Pengembangan","Consumer Cyclicals"
"SPMA","Suparma Tbk.","1994-11-16","Pengembangan","Basic Materials"
"SPRE","Soraya Berjaya Indonesia Tbk.","2024-07-03","Akselerasi","Consumer Cyclicals"
"SQMI","Wilton Makmur Indonesia Tbk.","2004-07-15","Pemantauan Khusus","Basic Materials"
"SRAJ","Sejahteraraya Anugrahjaya Tbk.","2011-04-11","Utama","Healthcare"
"SRIL","Sri Rejeki Isman Tbk.","2013-06-17","Pemantauan Khusus","Consumer Cyclicals"
"SRSN","Indo Acidatama Tbk","1993-01-11","Pengembangan","Basic Materials"
"SRTG","Saratoga Investama Sedaya Tbk.","2013-06-26","Utama","Financials"
"SSIA","Surya Semesta Internusa Tbk.","1997-03-27","Utama","Infrastructure"
"SSMS","Sawit Sumbermas Sarana Tbk.","2013-12-12","Utama","Consumer Non-Cyclicals"
"SSTM","Sunson Textile Manufacture Tbk","1997-08-20","Pemantauan Khusus","Consumer Cyclicals"
"STAA","Sumber Tani Agung Resources Tb","2022-03-10","Utama","Consumer Non-Cyclicals"
"STAR","Buana Artha Anugerah Tbk.","2011-07-13","Pengembangan","Financials"
"STRK","Lovina Beach Brewery Tbk.","2023-10-10","Pengembangan","Consumer Non-Cyclicals"
"STTP","Siantar Top Tbk.","1996-12-16","Pengembangan","Consumer Non-Cyclicals"
"SUGI","Sugih Energy Tbk.","2002-06-19","Pemantauan Khusus","Energy"
"SULI","SLJ Global Tbk.","1994-03-21","Pengembangan","Basic Materials"
"SUNI","Sunindo Pratama Tbk.","2023-01-09","Utama","Energy"
"SUPR","Solusi Tunas Pratama Tbk.","2011-10-11","Pemantauan Khusus","Infrastructure"
"SURE","Super Energy Tbk.","2018-10-05","Pengembangan","Energy"
"SURI","Maja Agung Latexindo Tbk.","2023-12-07","Pengembangan","Healthcare"
"SWAT","Sriwahana Adityakarta Tbk.","2018-06-08","Pemantauan Khusus","Basic Materials"
"SWID","Saraswanti Indoland Developmen","2022-07-07","Pengembangan","Consumer Cyclicals"
"TALF","Tunas Alfin Tbk.","2014-01-17","Pengembangan","Basic Materials"
"TAMA","Lancartama Sejati Tbk.","2020-02-10","Pemantauan Khusus","Infrastructure"
"TAMU","Pelayaran Tamarin Samudra Tbk.","2017-05-10","Pemantauan Khusus","Energy"
"TAPG","Triputra Agro Persada Tbk.","2021-04-12","Utama","Consumer Non-Cyclicals"
"TARA","Agung Semesta Sejahtera Tbk.","2014-07-11","Pemantauan Khusus","Properties & Real Estate"
"TAXI","Express Transindo Utama Tbk.","2012-11-02","Pemantauan Khusus","Transportation & Logistics"
"TAYS","Jaya Swarasa Agung Tbk.","2021-12-06","Pengembangan","Consumer Non-Cyclicals"
"TBIG","Tower Bersama Infrastructure T","2010-10-26","Utama","Infrastructure"
"TBLA","Tunas Baru Lampung Tbk.","2000-02-14","Utama","Consumer Non-Cyclicals"
"TBMS","Tembaga Mulia Semanan Tbk.","1990-05-23","Pengembangan","Basic Materials"
"TCID","Mandom Indonesia Tbk.","1993-09-30","Pengembangan","Consumer Non-Cyclicals"
"TCPI","Transcoal Pacific Tbk.","2018-07-06","Pengembangan","Energy"
"TDPM","Tianrong Chemicals Industry Tb","2018-04-09","Pemantauan Khusus","Basic Materials"
"TEBE","Dana Brata Luhur Tbk.","2019-11-18","Utama","Energy"
"TECH","Indosterling Technomedia Tbk.","2020-06-04","Pemantauan Khusus","Technology"
"TELE","Omni Inovasi Indonesia Tbk.","2012-01-12","Pemantauan Khusus","Consumer Cyclicals"
"TFAS","Telefast Indonesia Tbk.","2019-09-17","Pengembangan","Technology"
"TFCO","Tifico Fiber Indonesia Tbk.","1980-02-26","Pemantauan Khusus","Consumer Cyclicals"
"TGKA","Tigaraksa Satria Tbk.","1990-06-11","Pengembangan","Consumer Non-Cyclicals"
"TGRA","Terregra Asia Energy Tbk.","2017-05-16","Pemantauan Khusus","Infrastructure"
"TGUK","Platinum Wahab Nusantara Tbk.","2023-07-10","Pengembangan","Consumer Non-Cyclicals"
"TIFA","KDB Tifa Finance Tbk.","2011-07-08","Pemantauan Khusus","Financials"
"TINS","Timah Tbk.","1995-10-19","Utama","Basic Materials"
"TIRA","Tira Austenite Tbk","1993-07-27","Pengembangan","Industrials"
"TIRT","Tirta Mahakam Resources Tbk","1999-12-13","Pemantauan Khusus","Basic Materials"
"TKIM","Pabrik Kertas Tjiwi Kimia Tbk.","1990-04-03","Utama","Basic Materials"
"TLDN","Teladan Prima Agro Tbk.","2022-04-12","Pengembangan","Consumer Non-Cyclicals"
"TLKM","Telkom Indonesia (Persero) Tbk.","1995-11-14","Utama","Infrastructure"
"TMAS","Temas Tbk.","2003-07-09","Utama","Transportation & Logistics"
"TMPO","Tempo Intimedia Tbk.","2001-01-08","Pengembangan","Consumer Cyclicals"
"TNCA","Trimuda Nuansa Citra Tbk.","2018-06-28","Pengembangan","Transportation & Logistics"
"TOBA","TBS Energi Utama Tbk.","2012-07-06","Utama","Energy"
"TOOL","Rohartindo Nusantara Luas Tbk.","2022-08-09","Pengembangan","Consumer Cyclicals"
"TOPS","Totalindo Eka Persada Tbk.","2017-06-16","Pemantauan Khusus","Infrastructure"
"TOSK","Topindo Solusi Komunika Tbk.","2024-02-07","Pengembangan","Technology"
"TOTL","Total Bangun Persada Tbk.","2006-07-25","Utama","Infrastructure"
"TOTO","Surya Toto Indonesia Tbk.","1990-10-30","Pengembangan","Industrials"
"TOWR","Sarana Menara Nusantara Tbk.","2010-03-08","Utama","Infrastructure"
"TOYS","Sunindo Adipersada Tbk.","2020-08-06","Pemantauan Khusus","Consumer Cyclicals"
"TPIA","Chandra Asri Pacific Tbk.","2008-05-26","Pengembangan","Basic Materials"
"TPMA","Trans Power Marine Tbk.","2013-02-20","Utama","Energy"
"TRAM","Trada Alam Minera Tbk.","2008-09-10","Pemantauan Khusus","Energy"
"TRGU","Cerestar Indonesia Tbk.","2022-07-08","Utama","Consumer Non-Cyclicals"
"TRIL","Triwira Insanlestari Tbk.","2008-01-28","Pemantauan Khusus","Industrials"
"TRIM","Trimegah Sekuritas Indonesia T","2000-01-31","Utama","Financials"
"TRIN","Perintis Triniti Properti Tbk.","2020-01-15","Pengembangan","Properties & Real Estate"
"TRIO","Trikomsel Oke Tbk.","2009-04-14","Pemantauan Khusus","Consumer Cyclicals"
"TRIS","Trisula International Tbk.","2012-06-28","Pengembangan","Consumer Cyclicals"
"TRJA","Transkon Jaya Tbk.","2020-08-27","Pengembangan","Transportation & Logistics"
"TRON","Teknologi Karya Digital Nusa T","2023-03-08","Pengembangan","Technology"
"TRST","Trias Sentosa Tbk.","1990-07-02","Pengembangan","Basic Materials"
"TRUE","Triniti Dinamik Tbk.","2021-06-10","Pemantauan Khusus","Properties & Real Estate"
"TRUK","Guna Timur Raya Tbk.","2018-05-23","Pengembangan","Transportation & Logistics"
"TRUS","Trust Finance Indonesia Tbk","2002-11-28","Pengembangan","Financials"
"TSPC","Tempo Scan Pacific Tbk.","1994-06-17","Utama","Healthcare"
"TUGU","Asuransi Tugu Pratama Indonesi","2018-05-28","Utama","Financials"
"TYRE","King Tire Indonesia Tbk.","2023-05-08","Pengembangan","Consumer Cyclicals"
"UANG","Pakuan Tbk.","2020-07-06","Pengembangan","Properties & Real Estate"
"UCID","Uni-Charm Indonesia Tbk.","2019-12-20","Utama","Consumer Non-Cyclicals"
"UDNG","Agro Bahari Nusantara Tbk.","2023-10-31","Akselerasi","Consumer Non-Cyclicals"
"UFOE","Damai Sejahtera Abadi Tbk.","2021-02-01","Pengembangan","Consumer Cyclicals"
"ULTJ","Ultrajaya Milk Industry & Trad","1990-07-02","Utama","Consumer Non-Cyclicals"
"UNIC","Unggul Indah Cahaya Tbk.","1989-11-06","Utama","Basic Materials"
"UNIQ","Ulima Nitra Tbk.","2021-03-08","Utama","Energy"
"UNIT","Nusantara Inti Corpora Tbk","2002-04-18","Pemantauan Khusus","Consumer Cyclicals"
"UNSP","Bakrie Sumatera Plantations Tbk.","1990-03-06","Pemantauan Khusus","Consumer Non-Cyclicals"
"UNTD","Terang Dunia Internusa Tbk.","2024-02-07","Pengembangan","Consumer Cyclicals"
"UNTR","United Tractors Tbk.","1989-09-19","Utama","Industrials"
"UNVR","Unilever Indonesia Tbk.","1982-01-11","Utama","Consumer Non-Cyclicals"
"URBN","Urban Jakarta Propertindo Tbk.","2018-12-10","Pengembangan","Properties & Real Estate"
"UVCR","Trimegah Karya Pratama Tbk.","2021-07-27","Pengembangan","Technology"
"VAST","Vastland Indonesia Tbk.","2023-02-08","Pengembangan","Properties & Real Estate"
"VERN","Verona Indah Pictures Tbk.","2024-10-08","Pengembangan","Consumer Cyclicals"
"VICI","Victoria Care Indonesia Tbk.","2020-12-17","Utama","Consumer Non-Cyclicals"
"VICO","Victoria Investama Tbk.","2013-07-08","Pengembangan","Financials"
"VINS","Victoria Insurance Tbk.","2015-09-28","Pengembangan","Financials"
"VISI","Satu Visi Putra Tbk.","2024-02-27","Pengembangan","Industrials"
"VIVA","Visi Media Asia Tbk.","2011-11-21","Pemantauan Khusus","Consumer Cyclicals"
"VKTR","VKTR Teknologi Mobilitas Tbk.","2023-06-19","Pengembangan","Consumer Cyclicals"
"VOKS","Voksel Electric Tbk.","1990-12-20","Pengembangan","Industrials"
"VRNA","Mizuho Leasing Indonesia Tbk.","2008-06-25","Pengembangan","Financials"
"VTNY","Venteny Fortuna International","2022-12-15","Utama","Financials"
"WAPO","Wahana Pronatural Tbk.","2001-06-22","Pengembangan","Consumer Non-Cyclicals"
"WEGE","Wijaya Karya Bangunan Gedung T","2017-11-30","Utama","Infrastructure"
"WEHA","WEHA Transportasi Indonesia Tbk.","2007-05-31","Pengembangan","Transportation & Logistics"
"WGSH","Wira Global Solusi Tbk.","2021-12-06","Akselerasi","Technology"
"WICO","Wicaksana Overseas International Tbk.","1994-08-08","Pemantauan Khusus","Consumer Non-Cyclicals"
"WIDI","Widiant Jaya Krenindo Tbk.","2023-07-10","Akselerasi","Industrials"
"WIFI","Solusi Sinergi Digital Tbk.","2020-12-30","Pengembangan","Technology"
"WIIM","Wismilak Inti Makmur Tbk.","2012-12-18","Utama","Consumer Non-Cyclicals"
"WIKA","Wijaya Karya (Persero) Tbk.","2007-10-29","Pengembangan","Infrastructure"
"WINE","Hatten Bali Tbk.","2023-01-10","Pengembangan","Consumer Non-Cyclicals"
"WINR","Winner Nusantara Jaya Tbk.","2022-04-25","Pemantauan Khusus","Properties & Real Estate"
"WINS","Wintermar Offshore Marine Tbk.","2010-11-29","Utama","Energy"
"WIRG","WIR ASIA Tbk.","2022-04-04","Pengembangan","Technology"
"WMPP","Widodo Makmur Perkasa Tbk.","2021-12-06","Pemantauan Khusus","Consumer Non-Cyclicals"
"WMUU","Widodo Makmur Unggas Tbk.","2021-02-02","Pemantauan Khusus","Consumer Non-Cyclicals"
"WOMF","Wahana Ottomitra Multiartha Tb","2004-12-13","Pengembangan","Financials"
"WOOD","Integra Indocabinet Tbk.","2017-06-21","Utama","Consumer Cyclicals"
"WOWS","Ginting Jaya Energi Tbk.","2019-11-08","Pemantauan Khusus","Energy"
"WSBP","Waskita Beton Precast Tbk.","2016-09-20","Pemantauan Khusus","Basic Materials"
"WSKT","Waskita Karya (Persero) Tbk.","2012-12-19","Pemantauan Khusus","Infrastructure"
"WTON","Wijaya Karya Beton Tbk.","2014-04-08","Utama","Basic Materials"
"YELO","Yelooo Integra Datanet Tbk.","2018-10-29","Pemantauan Khusus","Consumer Cyclicals"
"YPAS","Yanaprima Hastapersada Tbk","2008-03-05","Pemantauan Khusus","Basic Materials"
"YULE","Yulie Sekuritas Indonesia Tbk.","2004-12-10","Pengembangan","Financials"
"ZATA","Bersama Zatta Jaya Tbk.","2022-11-10","Pemantauan Khusus","Consumer Cyclicals"
"ZBRA","Dosni Roha Indonesia Tbk.","1991-08-01","Pengembangan","Industrials"
"ZINC","Kapuas Prima Coal Tbk.","2017-10-16","Pemantauan Khusus","Basic Materials"
"ZONE","Mega Perintis Tbk.","2018-12-12","Pengembangan","Consumer Cyclicals"
"ZYRX","Zyrexindo Mandiri Buana Tbk.","2021-03-30","Pengembangan","Technology"
